250801_181217,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181218,GPS_GS : $GPRMC,,V,,,ü–‰‰‰‰ÉJ©šj (81)
250801_181220,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181220,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181221,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181221,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181222,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181222,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181223,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181223,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181224,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181224,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181225,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181225,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181226,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181226,GPS_GS : $GPGGA,,,,,,0üNN‰‰‰‰‰I‰Âj)bbbbbbbbbbbbbÊÊrÊÊbÊÊrÊÊbÊÊrÊÊRš‚j (62)
250801_181227,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181227,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181228,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181228,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181229,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181230,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181230,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181232,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181232,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181233,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181233,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181234,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181234,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181235,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181236,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181236,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
